County Name,State Fiscal Year,Ticket Sales,Prizes Paid,Retailer Commissions,FIPS County Code,Latitude,Longitude,Georeferenced Latitude & Longitude
Centre,2013-2014,28776690,20453825,1550288,42027,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Blair,2014-2015,61851008,41451312,3338189,42013,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Mercer,2010-2011,31477433,21599801,1670111,42085,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Forest,2011-2012,2524568,1364774,132673,42053,41.51357876,-79.23780995,POINT (-79.23780995 41.51357876)
Franklin,2012-2013,30484910,26015091,1642930,42055,39.92786197,-77.72398845,POINT (-77.72398845 39.92786197)
Northumberland,2011-2012,31515296,20200231,1683969,42097,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Snyder,2016-2017,11744543,7486007,628520,42109,40.77113737,-77.07255968,POINT (-77.07255968 40.77113737)
Elk,2010-2011,9728441,6070912,522441,42047,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Pike,2011-2012,8745119,7433515,473348,42103,41.332572,-75.03270924,POINT (-75.03270924 41.332572)
Huntingdon,2013-2014,10152951,7573410,555398,42061,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Mercer,2015-2016,42290792,28174812,2241256,42085,41.30237777,-80.26009411,POINT (-80.26009411 41.30237777)
Lehigh,2014-2015,88355101,52266568,4700002,42077,40.61464794,-75.60099481,POINT (-75.60099481 40.61464794)
Union,2010-2011,6100814,4048991,327275,42119,40.96473131,-77.06415803,POINT (-77.06415803 40.96473131)
Susquehanna,2015-2016,15819492,9335423,842703,42115,41.8205686,-75.80250303,POINT (-75.80250303 41.8205686)
Butler,2011-2012,49873383,28331361,2643967,42019,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Elk,2017-2018,12080211,8560468,654585,42047,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Indiana,2018-2019,32118977,20781929,1866825,42063,40.65295497,-79.09333493,POINT (-79.09333493 40.65295497)
Clearfield,2017-2018,32955122,24160419,1776069,42033,41.000429,-78.47558343,POINT (-78.47558343 41.000429)
Juniata,2012-2013,4257173,2709813,230553,42067,40.53433008,-77.405775,POINT (-77.405775 40.53433008)
York,2018-2019,138615924,95101983,8121978,42133,39.92192531,-76.72576052,POINT (-76.72576052 39.92192531)
Out Of Country,2016-2017,,337823,,,,,
Lancaster,2010-2011,87286341,55363757,4627669,42071,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Northumberland,2010-2011,28022184,21898450,1497002,42097,40.85150926,-76.71188423,POINT (-76.71188423 40.85150926)
Montgomery,2015-2016,210326052,125256627,11039722,42091,40.20989874,-75.37252001,POINT (-75.37252001 40.20989874)
Bedford,2010-2011,7754672,4300687,412915,42009,40.00737536,-78.49116474,POINT (-78.49116474 40.00737536)
